0.650      0.750      0.750      1.450
0.600      0.700      1.000      1.600
0.650      0.850      0.650      1.500
0.650      0.600      0.850      1.200
0.700      0.600      0.850      1.550
0.700      0.900      0.900      1.550
0.650      0.750      0.750      1.250
0.600      0.750      0.750      1.300
0.600      0.900      0.700      1.550
0.600      0.700      0.900      1.250
0.600      0.800      0.650      1.200
0.700      0.700      0.800      1.550
0.600      1.000      0.650      1.500
0.600      0.600      0.850      1.550
0.600      0.950      0.750      1.300
0.700      0.650      1.000      1.550
0.650      0.750      0.900      1.350
0.650      0.700      0.750      1.450
0.700      0.600      0.750      1.350
0.750      0.900      0.650      1.500
