# la,lb,lc,ele,rg,hb,pi,gA,gB,gC,gA_max,gB_max,gC_max,rg_dist,SSE,stotal
     0.600,     0.650,     0.950,     1.300,     0.779,     0.895,     0.763,     0.818,     0.871,     0.863,     0.536,     0.998,     0.693,     0.055,     1.387,    0.1896
     0.600,     0.700,     0.700,     1.400,     0.952,     0.748,     0.789,     0.776,     0.736,     0.641,     0.662,     0.787,     0.557,     0.285,     1.226,    0.2993
     0.600,     0.700,     0.800,     1.550,     0.828,     0.668,     0.742,     0.805,     0.854,     0.818,     0.562,      0.97,     0.949,     0.094,     1.315,    0.1965
     0.600,     0.750,     0.650,     1.550,     0.735,     0.609,     0.645,     0.777,     0.772,     0.626,     0.447,     0.803,     0.542,       0.0,     2.145,    0.3466
     0.600,     0.800,     1.000,     1.500,     0.926,     0.817,     0.915,     0.802,     0.862,     0.807,     0.355,     0.658,     0.668,     0.139,     1.526,    0.2904
     0.600,     0.850,     0.650,     1.450,     0.828,     0.808,     0.716,     0.808,     0.865,     0.707,     0.412,     0.831,     0.658,     0.129,     1.538,    0.2733
     0.600,     0.900,     0.750,     1.250,     0.909,     0.737,     0.982,     0.816,     0.858,     0.858,     0.415,     0.651,     0.842,     0.232,     1.231,    0.2607
     0.600,     0.950,     0.650,     1.550,     0.944,      0.67,     0.903,     0.853,     0.828,     0.781,     0.464,     0.632,     0.766,      0.14,     1.438,    0.2869
     0.650,     0.600,     0.850,     1.500,     0.827,     0.697,     0.985,     0.813,      0.75,     0.801,     0.439,     0.742,     0.907,     0.068,     1.518,    0.2647
     0.650,     0.600,     0.900,     1.250,     0.854,     0.793,     0.794,     0.818,     0.843,     0.863,     0.451,     0.828,     0.913,     0.153,     1.239,    0.2132
     0.650,     0.650,     0.800,     1.350,     0.999,      0.94,     0.822,     0.806,     0.786,      0.78,      0.47,     0.852,     0.808,     0.502,     0.755,    0.2228
     0.650,     0.700,     0.950,     1.600,     0.994,     0.696,     0.808,     0.814,      0.91,      0.85,     0.451,      0.77,     0.754,     0.524,     0.836,     0.251
     0.650,     0.800,     0.600,     1.350,     0.919,     0.983,     0.925,     0.806,     0.835,     0.632,     0.418,     0.975,     0.529,      0.24,     1.352,    0.2605
     0.650,     0.850,     0.750,     1.450,     0.801,     0.863,     0.844,     0.814,      0.85,     0.842,      0.34,     0.678,     0.876,     0.091,     1.546,    0.2484
     0.650,     0.900,     0.750,     1.400,     0.993,     0.972,     0.872,     0.817,     0.832,      0.88,     0.314,     0.679,     0.919,     0.306,     1.155,    0.2269
     0.650,     1.000,     0.700,     1.550,     0.949,     0.758,     0.897,      0.82,     0.785,     0.906,     0.352,     0.534,     0.989,     0.367,     1.197,    0.2654
     0.700,     0.700,     0.750,     1.350,     0.896,     0.951,     0.788,     0.809,     0.838,     0.769,      0.41,     0.976,     0.735,     0.245,     1.163,    0.2162
     0.700,     0.850,     0.650,     1.550,     0.806,      0.69,     0.752,      0.84,     0.854,     0.732,     0.441,     0.828,     0.739,     0.125,      1.49,    0.2683
     0.700,     0.900,     0.600,     1.450,     0.813,     0.891,     0.691,       0.8,     0.844,     0.747,     0.289,     0.654,     0.709,     0.173,     1.665,    0.2954
     0.700,     0.900,     0.650,     1.550,     0.891,     0.804,     0.925,     0.814,     0.841,     0.796,     0.472,     0.599,     0.763,     0.206,     1.284,    0.2733
