# la,lb,lc,ele,rg,hb,pi,gA,gB,gC,gA_max,gB_max,gC_max,rg_dist,SSE,stotal
     0.600,     0.650,     0.900,     1.550,     0.874,     0.654,     0.711,     0.802,     0.843,     0.883,     0.437,     0.924,     0.961,     0.136,     1.367,    0.2139
     0.600,     0.700,     0.850,     1.300,     0.842,     0.836,     0.817,      0.79,     0.865,     0.841,     0.449,     0.989,     0.991,     0.131,     1.232,    0.1772
     0.600,     0.750,     0.700,     1.350,     0.837,     0.932,     0.914,     0.769,     0.823,     0.697,     0.505,      0.96,     0.676,      0.08,     1.413,    0.2342
     0.600,     0.800,     0.850,     1.500,     0.848,     0.803,     0.991,     0.824,      0.89,     0.892,      0.36,     0.802,     0.917,     0.142,     1.309,    0.2162
     0.600,     0.900,     0.750,     1.350,     0.718,     0.939,     0.808,     0.824,      0.83,     0.869,      0.42,     0.563,      0.98,       0.0,     1.725,    0.2252
     0.600,     0.900,     0.750,     1.450,     0.858,     0.891,      0.89,     0.836,     0.845,     0.872,     0.457,     0.602,     0.922,     0.068,     1.439,    0.2252
     0.600,     0.900,     0.850,     1.500,     0.925,       0.8,     0.916,     0.825,     0.847,     0.886,     0.324,     0.556,     0.855,     0.226,     1.394,    0.2727
     0.600,     0.950,     0.700,     1.600,       1.0,     0.696,     0.863,     0.807,     0.804,     0.823,     0.448,     0.558,     0.834,     0.201,     1.384,    0.2903
     0.650,     0.600,     0.850,     1.350,     0.798,     0.969,      0.72,     0.797,     0.772,     0.817,     0.401,     0.823,     0.993,     0.056,     1.528,    0.2042
     0.650,     0.700,     1.000,     1.550,     0.969,     0.764,     0.939,     0.821,     0.914,     0.823,     0.474,     0.911,     0.676,     0.441,     0.833,    0.2312
     0.650,     0.800,     0.750,     1.300,     0.985,     0.779,     0.868,     0.819,     0.869,     0.835,     0.322,     0.728,     0.922,     0.331,     1.131,    0.2468
     0.650,     0.850,     0.650,     1.400,     0.892,     0.878,     0.844,     0.809,     0.842,     0.712,     0.391,     0.786,     0.647,     0.181,     1.407,    0.2767
     0.650,     0.850,     0.700,     1.400,     0.995,     0.905,     0.871,     0.806,     0.871,     0.786,     0.358,     0.799,     0.789,     0.396,     0.988,    0.2411
     0.700,     0.750,     0.650,     1.300,     0.956,     0.802,     0.752,     0.808,     0.819,      0.69,      0.39,     0.863,      0.67,     0.422,     1.102,      0.28
     0.700,     0.800,     0.600,     1.400,     0.818,     0.896,     0.699,     0.811,     0.833,     0.649,     0.417,     0.885,      0.58,     0.077,     1.703,    0.2758
     0.700,     0.800,     0.950,     1.550,      0.84,       0.8,     0.936,     0.834,     0.869,     0.852,     0.381,     0.748,     0.664,     0.068,     1.565,    0.2648
     0.700,     0.850,     0.650,     1.300,     0.926,     0.881,      0.79,     0.822,     0.851,     0.718,     0.412,     0.809,     0.661,     0.178,      1.37,     0.264
     0.700,     0.900,     0.650,     1.400,     0.892,     0.906,     0.782,      0.81,     0.846,     0.793,     0.337,      0.62,       0.8,     0.167,     1.489,      0.27
     0.750,     0.600,     0.900,     1.550,     0.966,     0.778,     0.778,     0.812,      0.87,     0.842,     0.315,     0.943,     0.859,     0.492,     0.927,    0.2261
     0.750,     0.750,     0.800,     1.450,     0.972,     0.953,     0.826,     0.773,      0.88,     0.866,     0.239,     0.787,     0.959,     0.447,     1.049,    0.2206
