# la,lb,lc,ele,rg,hb,pi,gA,gB,gC,gA_max,gB_max,gC_max,rg_dist,SSE
     0.600,     0.650,     0.800,     1.500,     0.826,     0.679,      0.73,     0.772,     0.782,     0.769,      0.55,     0.785,     0.785,     0.022,     1.611
     0.600,     0.700,     1.000,     1.500,     0.932,     0.843,     0.942,     0.823,     0.916,     0.836,     0.455,     0.805,     0.717,     0.159,      1.22
     0.600,     0.750,     0.650,     1.450,     0.948,     0.728,     0.827,     0.751,     0.752,     0.611,     0.558,     0.781,     0.516,     0.315,     1.328
     0.600,     0.850,     0.750,     1.550,      0.77,      0.66,     0.774,     0.827,     0.836,     0.853,     0.533,     0.629,     0.969,       0.0,     1.655
     0.650,     0.650,     0.800,     1.500,     0.698,     0.736,     0.737,     0.813,     0.803,     0.794,     0.472,     0.832,     0.842,     0.001,     1.676
     0.650,     0.650,     0.850,     1.400,     0.902,     0.873,     0.914,     0.819,     0.846,      0.84,     0.433,     0.911,     0.943,     0.107,     1.245
     0.650,     0.650,     0.900,     1.400,     0.933,     0.966,     0.823,     0.819,     0.891,     0.871,     0.374,     0.876,     0.911,     0.355,     0.929
     0.650,     0.650,     0.900,     1.600,     0.951,     0.623,     0.773,      0.85,     0.864,     0.871,     0.487,     0.886,     0.969,     0.405,     0.885
     0.650,     0.650,     1.000,     1.500,     0.812,     0.787,     0.758,     0.834,     0.926,     0.845,     0.418,      0.95,      0.75,     0.002,     1.596
     0.650,     0.700,     0.850,     1.450,     0.779,     0.888,     0.688,     0.829,     0.862,     0.837,     0.446,     0.968,     0.997,     0.003,     1.536
     0.650,     0.700,     0.900,     1.400,     0.781,     0.957,     0.794,     0.809,     0.893,     0.872,     0.339,     0.882,     0.885,       0.0,     1.621
     0.650,     0.750,     0.650,     1.350,     0.978,     0.955,     0.747,     0.764,     0.779,     0.626,     0.399,     0.907,     0.548,      0.41,     1.233
     0.650,     0.750,     0.650,     1.400,     0.896,      0.86,     0.853,     0.798,      0.79,     0.647,     0.351,     0.933,     0.596,     0.221,     1.457
     0.650,     0.750,     0.750,     1.600,      0.92,     0.603,     0.832,     0.814,     0.815,      0.73,     0.447,     0.947,     0.678,     0.167,      1.44
     0.650,     0.750,     0.800,     1.300,     0.916,     0.714,     0.908,      0.82,     0.861,     0.838,      0.33,     0.777,     0.973,     0.216,     1.289
     0.650,     0.750,     0.850,     1.500,     0.956,     0.799,     0.916,     0.818,     0.894,     0.873,     0.494,     0.785,     0.988,     0.416,     0.753
     0.650,     0.750,     0.900,     1.500,     0.822,     0.824,     0.999,     0.833,       0.9,     0.874,     0.407,     0.825,     0.799,     0.091,     1.365
     0.650,     0.800,     0.950,     1.600,     0.976,     0.725,     0.935,     0.836,     0.881,     0.858,     0.399,      0.72,      0.75,     0.369,     1.042
     0.650,     0.850,     0.700,     1.300,       1.0,     0.761,     0.883,     0.809,      0.86,     0.815,     0.335,     0.621,     0.858,     0.263,      1.31
     0.650,     0.950,     0.850,     1.600,     0.971,     0.727,     0.922,     0.821,     0.794,     0.915,     0.426,     0.545,     0.826,     0.489,     0.991
