,hb,gra,grb,grc,gra_max,grb_max,grc_max
105,0.836,0.757,0.856,0.891,0.261,0.688,0.948
106,0.305,0.801,0.764,0.911,0.284,0.436,0.912
107,0.63,0.845,0.874,0.884,0.44,0.811,0.852
108,0.825,0.814,0.891,0.892,0.372,0.782,0.779
109,0.151,0.649,0.771,0.795,0.196,0.556,0.574
110,0.901,0.723,0.733,0.825,0.244,0.492,0.619
111,0.984,0.827,0.871,0.739,0.453,0.828,0.716
112,0.272,0.837,0.741,0.777,0.304,0.457,0.544
113,0.803,0.824,0.89,0.892,0.36,0.802,0.917
114,0.793,0.792,0.731,0.705,0.425,0.83,0.721
115,0.701,0.823,0.908,0.871,0.61,0.877,0.763
116,0.978,0.801,0.84,0.769,0.436,0.75,0.752
117,0.776,0.827,0.832,0.881,0.53,0.585,0.886
118,0.825,0.839,0.916,0.89,0.386,0.949,0.932
119,0.881,0.822,0.851,0.718,0.412,0.809,0.661
120,0.803,0.797,0.881,0.844,0.506,0.934,0.95
121,0.74,0.827,0.829,0.856,0.371,0.548,0.678
122,0.738,0.713,0.672,0.546,0.243,0.693,0.392
123,0.779,0.678,0.934,0.855,0.221,0.837,0.691
124,0.768,0.809,0.846,0.667,0.501,0.995,0.59
125,0.714,0.851,0.849,0.87,0.516,0.685,0.792
126,0.751,0.808,0.814,0.892,0.407,0.604,0.975
127,0.611,0.814,0.859,0.865,0.584,0.844,0.832
128,0.714,0.82,0.861,0.838,0.33,0.777,0.973
129,0.766,0.846,0.87,0.806,0.396,0.658,0.625
130,0.502,0.8,0.877,0.859,0.359,0.677,0.816
131,0.785,0.807,0.878,0.863,0.299,0.742,0.754
132,0.905,0.806,0.871,0.786,0.358,0.799,0.789
133,0.811,0.76,0.79,0.823,0.489,0.747,0.928
134,0.368,0.783,0.849,0.828,0.372,0.999,0.921
135,0.944,0.79,0.81,0.78,0.534,0.905,0.824
136,0.66,0.827,0.836,0.853,0.533,0.629,0.969
