# la,lb,lc,ele,rg,hb,pi,gA,gB,gC,gA_max,gB_max,gC_max,rg_dist,SSE
     0.600,     0.600,     0.950,     1.600,     0.882,     0.697,     0.802,     0.802,     0.901,      0.85,     0.422,     0.982,     0.734,     0.168,     1.314
     0.600,     0.650,     0.950,     1.400,     0.758,     0.897,     0.734,     0.788,     0.869,     0.857,     0.462,     0.945,     0.862,     0.011,     1.512
     0.600,     0.650,     0.950,     1.450,      0.82,     0.874,       1.0,     0.837,     0.909,     0.844,     0.455,     0.969,     0.799,     0.052,     1.345
     0.600,     0.650,     0.950,     1.600,     0.846,     0.611,     0.754,     0.814,     0.859,     0.865,     0.584,     0.844,     0.832,     0.161,     1.238
     0.600,     0.650,     1.000,     1.450,     0.904,     0.817,     0.868,     0.798,     0.925,     0.846,     0.417,     0.926,     0.753,     0.148,     1.263
     0.600,     0.700,     1.000,     1.250,     0.773,     0.715,     0.823,     0.816,     0.918,     0.848,     0.357,     0.829,     0.702,     0.001,     1.757
     0.600,     0.700,     1.000,     1.350,     0.908,     0.825,      0.97,     0.806,     0.906,      0.84,     0.315,     0.868,     0.626,     0.257,     1.291
     0.600,     0.750,     0.900,     1.600,      0.86,      0.64,     0.832,     0.847,     0.869,     0.882,     0.525,     0.776,     0.931,     0.146,     1.242
     0.600,     0.800,     0.750,     1.600,     0.807,     0.629,     0.724,     0.837,     0.874,     0.783,     0.444,     0.903,     0.753,     0.103,     1.525
     0.600,     0.850,     0.800,     1.600,     0.802,     0.669,     0.927,     0.832,     0.851,     0.874,     0.489,     0.681,     0.895,     0.019,     1.557
     0.650,     0.600,     1.000,     1.400,       1.0,     0.994,     0.909,     0.828,     0.929,     0.839,     0.339,     0.988,     0.704,     0.524,      0.82
     0.650,     0.600,     1.000,     1.450,     0.897,     0.811,     0.744,     0.831,     0.891,     0.862,     0.446,     0.839,     0.773,     0.227,     1.153
     0.650,     0.600,     1.000,     1.600,     0.941,     0.597,     0.927,     0.861,     0.905,      0.84,      0.51,     0.908,     0.767,     0.325,     0.984
     0.650,     0.650,     1.000,     1.350,     0.787,     0.834,     0.765,     0.822,     0.926,      0.85,     0.287,      0.85,     0.678,     0.045,     1.734
     0.650,     0.700,     1.000,     1.450,     0.841,     0.856,     0.808,     0.835,     0.901,     0.861,     0.418,     0.982,     0.778,     0.044,     1.441
     0.650,     0.850,     0.750,     1.600,       0.9,     0.698,     0.942,     0.823,     0.855,     0.846,     0.388,     0.686,     0.929,      0.09,     1.487
     0.650,     0.850,     0.800,     1.600,     0.988,     0.705,     0.877,     0.824,      0.84,      0.89,      0.43,     0.677,     0.935,      0.42,     0.941
     0.650,     0.850,     0.850,     1.550,     0.811,     0.709,      0.87,     0.826,     0.833,     0.881,     0.442,     0.666,     0.792,     0.028,     1.621
     0.700,     0.600,     0.950,     1.250,     0.812,     0.706,     0.911,     0.808,     0.893,     0.843,     0.361,     0.941,     0.646,     0.024,     1.692
     0.700,     0.600,     0.950,     1.350,     0.944,     0.849,     0.829,     0.811,     0.886,     0.838,     0.313,     0.961,     0.779,     0.349,     1.076
     0.700,     0.600,     0.950,     1.600,     0.878,      0.63,     0.698,     0.845,     0.874,     0.884,      0.44,     0.811,     0.852,       0.1,     1.478
     0.700,     0.650,     0.950,     1.250,     0.989,     0.639,     0.884,     0.835,     0.908,     0.862,     0.358,     0.862,     0.699,     0.392,      1.09
     0.700,     0.700,     1.000,     1.350,     0.978,     0.697,     0.867,     0.806,     0.895,      0.84,     0.312,     0.774,     0.622,     0.389,     1.225
     0.700,     0.700,     1.000,     1.600,      0.98,      0.73,     0.922,     0.814,     0.898,     0.838,     0.372,     0.832,     0.683,     0.471,     0.954
     0.700,     0.800,     0.750,     1.600,     0.961,     0.639,     0.792,     0.838,     0.865,     0.788,     0.474,     0.917,     0.814,     0.422,     0.917
     0.700,     0.800,     0.850,     1.600,     0.915,     0.733,      0.95,      0.82,      0.87,     0.894,     0.386,     0.736,     0.879,     0.275,     1.129
     0.700,     0.800,     0.900,     1.600,      0.78,     0.669,     0.831,     0.805,      0.86,     0.885,     0.492,     0.677,     0.739,       0.0,     1.688
     0.700,     0.850,     0.750,     1.600,     0.767,     0.686,     0.712,     0.789,     0.839,     0.887,      0.36,     0.592,     0.985,     0.008,     1.879
     0.700,     0.900,     0.800,     1.600,      0.94,      0.77,     0.925,     0.804,     0.816,     0.907,     0.319,     0.624,     0.899,     0.136,     1.505
