# la,lb,lc,ele,rg,hb,pi,gA,gB,gC,gA_max,gB_max,gC_max,rg_dist,SSE,stotal
     0.600,     0.600,     0.900,     1.400,     0.767,     0.811,     0.757,      0.76,      0.79,     0.823,     0.489,     0.747,     0.928,     0.001,      1.61,    0.2362
     0.600,     0.650,     0.750,     1.450,     0.741,     0.681,     0.638,     0.763,     0.665,     0.645,     0.592,     0.613,     0.599,       0.0,     2.071,    0.3492
     0.600,     0.750,     0.900,     1.400,     0.989,     0.969,     0.857,     0.816,     0.899,     0.887,     0.474,     0.924,     0.859,     0.283,     0.895,    0.1676
     0.600,     0.800,     0.750,     1.350,     0.809,      0.96,     0.728,     0.801,     0.856,     0.792,     0.432,     0.866,      0.77,     0.097,     1.425,    0.2178
     0.600,     0.850,     0.700,     1.500,     0.964,     0.773,      0.88,       0.8,     0.854,     0.782,     0.386,      0.69,     0.858,     0.424,     1.001,    0.2656
     0.600,     0.850,     0.900,     1.600,      0.87,     0.714,     0.817,     0.851,     0.849,      0.87,     0.516,     0.685,     0.792,     0.183,     1.238,    0.2464
     0.600,     0.900,     0.700,     1.400,     0.953,     0.986,       0.8,     0.819,     0.833,     0.834,     0.379,     0.547,     0.838,     0.356,     1.162,    0.2523
     0.600,     0.950,     0.750,     1.550,     0.877,     0.751,     0.851,     0.808,     0.814,     0.892,     0.407,     0.604,     0.975,     0.221,     1.298,    0.2501
     0.600,     0.950,     0.850,     1.550,     0.954,     0.779,       0.9,     0.816,     0.793,     0.899,     0.391,     0.599,     0.855,     0.323,     1.159,    0.2671
     0.650,     0.650,     0.950,     1.550,     0.758,     0.725,     0.736,     0.847,     0.901,     0.861,     0.569,     0.908,     0.765,      0.02,     1.466,    0.2036
     0.650,     0.700,     0.900,     1.550,     0.967,     0.712,     0.859,     0.846,     0.909,     0.881,     0.458,     0.997,     0.872,      0.28,     0.979,    0.1895
     0.650,     0.750,     1.000,     1.400,     0.827,     0.766,     0.882,     0.846,      0.87,     0.806,     0.396,     0.658,     0.625,     0.019,     1.762,    0.2907
     0.650,     0.800,     0.650,     1.300,     0.811,     0.887,     0.714,     0.801,     0.833,     0.685,     0.479,     0.974,     0.595,     0.048,     1.639,    0.2497
     0.650,     0.800,     0.850,     1.450,     0.998,     0.883,     0.882,     0.828,     0.864,     0.917,     0.357,     0.793,     0.938,     0.457,     0.838,    0.2031
     0.650,     0.850,     0.700,     1.550,     0.939,     0.645,     0.844,     0.825,     0.858,     0.818,     0.518,     0.675,     0.797,     0.326,     1.071,    0.2666
     0.700,     0.600,     1.000,     1.500,     0.856,     0.868,     0.791,     0.838,      0.92,     0.834,     0.341,     0.969,     0.657,     0.089,     1.525,    0.2249
     0.700,     0.650,     0.850,     1.450,     0.832,     0.849,       0.7,     0.815,     0.838,     0.827,      0.33,     0.982,     0.877,     0.117,     1.475,    0.2119
     0.700,     0.700,     0.900,     1.600,     0.946,     0.709,     0.847,     0.838,     0.912,     0.882,     0.431,     0.816,     0.818,     0.264,     1.091,    0.2279
     0.700,     0.750,     0.850,     1.450,      0.97,     0.938,     0.813,     0.823,     0.883,     0.903,     0.387,     0.626,     0.885,     0.465,     0.909,    0.2224
     0.700,     0.750,     0.900,     1.550,     0.922,     0.767,     0.942,     0.844,     0.882,      0.86,     0.434,     0.855,     0.767,     0.292,     1.019,    0.2275
