# la,lb,lc,ele,rg,hb,pi,gA,gB,gC,gA_max,gB_max,gC_max,rg_dist,SSE
     0.600,     0.600,     0.800,     1.300,      0.81,     0.943,     0.753,     0.706,     0.669,     0.716,     0.623,     0.604,     0.716,     0.109,      1.55
     0.600,     0.600,     0.900,     1.500,     0.826,     0.728,     0.743,     0.786,     0.788,     0.853,     0.584,     0.871,     0.971,     0.064,     1.349
     0.600,     0.600,     0.950,     1.500,     0.944,     0.756,      0.87,     0.802,     0.859,     0.859,     0.458,     0.856,     0.872,       0.4,     0.849
     0.600,     0.700,     0.850,     1.500,     0.964,     0.712,     0.929,     0.803,     0.856,     0.848,     0.583,     0.921,      0.91,     0.354,     0.777
     0.600,     0.700,     0.900,     1.500,     0.895,     0.781,       0.9,     0.832,     0.894,     0.871,     0.483,     0.987,     0.822,     0.151,     1.145
     0.600,     0.900,     0.650,     1.600,     0.884,     0.631,     0.902,      0.82,     0.856,     0.722,     0.547,     0.769,     0.691,     0.217,     1.257
     0.600,     0.900,     0.850,     1.600,     0.963,     0.673,     0.876,     0.841,     0.821,     0.907,     0.453,     0.719,     0.861,     0.462,     0.877
     0.650,     0.650,     0.700,     1.300,     0.962,     0.915,      0.85,     0.755,     0.693,     0.626,     0.341,     0.726,     0.529,     0.264,     1.598
     0.650,     0.700,     0.700,     1.500,     0.828,     0.645,     0.715,     0.801,     0.743,     0.659,     0.597,     0.714,     0.652,     0.089,     1.654
     0.650,     0.750,     0.700,     1.300,     0.875,     0.925,     0.989,     0.797,     0.845,     0.729,      0.48,     0.974,      0.71,     0.105,     1.316
     0.650,     0.750,     0.700,     1.500,     0.981,     0.674,     0.819,     0.826,     0.818,       0.7,     0.574,     0.942,     0.673,     0.397,     0.948
     0.650,     0.750,     0.800,     1.400,     0.928,     0.889,     0.945,     0.851,     0.881,      0.84,     0.508,     0.899,     0.878,     0.279,     0.869
     0.650,     0.800,     0.650,     1.600,     0.888,     0.609,     0.727,     0.832,     0.844,     0.686,     0.462,     0.924,     0.605,      0.13,     1.599
     0.650,     0.800,     0.700,     1.500,     0.884,     0.717,     0.705,     0.789,     0.832,     0.714,     0.454,     0.773,     0.668,     0.171,     1.482
     0.650,     0.900,     0.800,     1.350,     0.906,     0.771,     0.877,     0.816,      0.81,     0.907,     0.302,     0.505,     0.867,     0.127,     1.667
     0.700,     0.600,     0.900,     1.500,     0.734,     0.831,      0.68,     0.818,     0.814,     0.837,     0.382,     0.839,     0.894,       0.0,     1.715
     0.700,     0.800,     0.650,     1.350,     0.833,     0.891,      0.98,     0.818,      0.86,      0.72,     0.344,     0.843,     0.668,     0.028,     1.681
     0.750,     0.700,     0.900,     1.500,     0.764,     0.825,     0.805,     0.814,     0.891,     0.892,     0.372,     0.782,     0.779,     0.019,     1.636
     0.750,     0.800,     0.700,     1.350,     0.755,     0.824,      0.79,     0.785,     0.859,      0.81,     0.282,     0.778,     0.788,       0.0,     1.847
     0.750,     0.900,     0.750,     1.600,     0.854,     0.841,     0.731,     0.767,     0.813,     0.877,     0.339,     0.585,      0.93,     0.084,     1.676
