# la,lb,lc,ele,rg,hb,pi,gA,gB,gC,gA_max,gB_max,gC_max,rg_dist,SSE,stotal
     0.600,     0.750,     0.600,     1.350,     0.979,     0.858,      0.74,     0.721,      0.67,     0.508,     0.507,     0.684,     0.389,     0.424,     1.565,    0.3808
     0.600,     0.750,     0.700,     1.600,     0.782,     0.612,     0.654,     0.772,     0.765,     0.674,     0.569,     0.869,     0.646,     0.027,     1.806,    0.2993
     0.600,     0.750,     1.000,     1.550,      0.78,     0.829,     0.796,     0.805,     0.899,     0.827,     0.378,     0.725,     0.647,     0.006,     1.773,    0.2703
     0.600,     0.800,     0.600,     1.300,     0.735,     0.998,      0.68,     0.771,     0.799,     0.609,     0.539,     0.959,     0.547,     0.026,     1.786,    0.2543
     0.600,     0.850,     0.650,     1.300,     0.782,     0.886,     0.675,     0.794,     0.829,     0.696,     0.476,     0.751,     0.647,       0.0,     1.791,    0.2747
     0.600,     0.950,     0.600,     1.450,      0.95,     0.812,     0.897,     0.829,     0.816,      0.76,     0.528,     0.594,     0.734,     0.393,     0.996,    0.2756
     0.650,     0.650,     0.850,     1.300,     0.931,     0.846,     0.917,     0.804,     0.832,     0.838,     0.382,     0.906,     0.929,     0.187,     1.185,    0.2092
     0.650,     0.650,     0.850,     1.550,     0.811,     0.686,     0.721,      0.82,     0.832,      0.84,     0.405,      0.81,     0.914,     0.009,     1.678,    0.2421
     0.650,     0.650,     0.900,     1.300,     0.844,     0.982,     0.983,     0.819,     0.863,     0.858,     0.475,     0.875,     0.864,     0.073,     1.266,    0.1808
     0.650,     0.700,     0.800,     1.250,     0.781,     0.775,     0.891,     0.784,     0.856,      0.83,     0.384,     0.969,      0.93,      0.01,     1.572,    0.2105
     0.650,     0.750,     0.800,     1.550,     0.949,     0.748,     0.789,     0.816,     0.882,     0.841,     0.456,     0.846,     0.955,     0.415,     0.848,    0.2082
     0.650,     0.750,     0.950,     1.550,     0.784,     0.785,     0.822,     0.807,     0.878,     0.863,     0.299,     0.742,     0.754,       0.0,     1.814,    0.2677
     0.650,     0.800,     0.800,     1.500,     0.936,     0.758,     0.951,     0.816,     0.877,     0.892,     0.418,      0.75,     0.985,     0.338,     0.965,    0.2151
     0.650,     0.800,     1.000,     1.550,     0.812,     0.756,      0.91,      0.85,     0.861,      0.84,     0.422,     0.752,     0.628,     0.049,     1.609,    0.2704
     0.650,     0.900,     0.650,     1.450,     0.965,     0.902,     0.952,     0.811,      0.83,       0.8,     0.366,     0.632,     0.805,     0.397,     1.057,    0.2651
     0.650,     0.900,     0.750,     1.500,      0.86,     0.789,     0.885,     0.842,     0.826,     0.873,     0.421,     0.653,     0.885,     0.132,     1.371,    0.2447
     0.700,     0.750,     0.600,     1.450,     0.937,     0.854,      0.72,     0.807,     0.757,     0.569,     0.389,     0.874,     0.478,     0.149,     1.772,    0.3249
     0.700,     0.850,     0.650,     1.450,     0.894,     0.871,     0.983,     0.812,     0.853,     0.761,     0.335,     0.661,     0.738,     0.144,     1.501,    0.2816
     0.700,     0.900,     0.700,     1.500,     0.988,     0.794,     0.808,     0.816,     0.818,     0.839,     0.358,     0.541,     0.831,     0.451,     1.125,    0.2864
     0.750,     0.600,     0.800,     1.450,     0.938,     0.866,     0.825,     0.828,     0.763,     0.775,     0.383,     0.816,     0.888,     0.275,     1.142,    0.2404
