# la,lb,lc,ele,rg,hb,pi,gA,gB,gC,gA_max,gB_max,gC_max,rg_dist,SSE
0.6, 0.6, 0.6, 1.0, 0.979, 0.552, 0.846, 0.571, 0.447, 0.401, 0.928, 0.32, 0.266, 0.429, 2.406
0.6, 0.6, 0.6, 1.4, 0.938, 0.674, 0.813, 0.699, 0.521, 0.445, 0.497, 0.477, 0.329, 0.215, 2.366
0.6,       0.6,       0.6,      1.58,     0.867,     0.506,     0.693,     0.659,     0.466,     0.412,     0.682,     0.365,     0.292,     0.225,     2.709
0.6, 0.6, 0.8, 1.0, 0.852, 0.443, 0.795, 0.668, 0.649, 0.704, 0.655, 0.59, 0.817, 0.166, 1.711
0.6, 0.6, 0.8, 1.4, 0.934, 0.748, 0.777, 0.745, 0.676, 0.709, 0.651, 0.604, 0.726, 0.277, 1.249
0.6, 0.6, 0.8, 1.6, 0.762, 0.601, 0.657, 0.812, 0.714, 0.727, 0.661, 0.656, 0.753, 0.018, 1.784
0.6, 0.6, 1.0, 1.0, 0.996, 0.326, 0.978, 0.784, 0.905, 0.827, 0.396, 0.927, 0.611, 0.355, 1.478
0.6, 0.6, 1.0, 1.4, 0.767, 0.91, 0.674, 0.82, 0.891, 0.85, 0.424, 0.942, 0.74, 0.042, 1.556
0.6, 0.6, 1.0, 1.6, 0.827, 0.658, 0.993, 0.812, 0.859, 0.847, 0.472, 0.924, 0.861, 0.125, 1.295
0.6, 0.8, 0.6, 1.0, 0.763, 0.435, 0.845, 0.7, 0.768, 0.582, 0.535, 0.926, 0.475, 0.0, 2.215
0.6, 0.8, 0.6, 1.4, 0.858, 0.794, 0.748, 0.799, 0.824, 0.622, 0.678, 0.956, 0.531, 0.169, 1.357
0.6, 0.8, 0.6, 1.6, 0.817, 0.558, 0.664, 0.785, 0.773, 0.582, 0.82, 0.842, 0.439, 0.07, 1.851
0.6, 0.8, 0.8, 1.0, 0.747, 0.32, 0.809, 0.784, 0.873, 0.839, 0.433, 0.753, 0.98, 0.0, 2.034
0.6, 0.8, 0.8, 1.4, 0.913, 0.944, 0.753, 0.81, 0.871, 0.871, 0.33, 0.775, 0.969, 0.206, 1.272
0.6, 0.8, 0.8, 1.6, 0.972, 0.647, 0.968, 0.806, 0.882, 0.862, 0.386, 0.73, 0.948, 0.328, 1.101
0.6, 0.8, 1.0, 1.0, 0.956, 0.256, 0.95, 0.799, 0.877, 0.81, 0.342, 0.617, 0.536, 0.335, 1.887
0.6, 0.8, 1.0, 1.4, 0.803, 0.911, 0.848, 0.819, 0.854, 0.817, 0.323, 0.659, 0.649, 0.134, 1.605
0.6, 0.8, 1.0, 1.6, 0.937, 0.714, 0.982, 0.843, 0.845, 0.834, 0.482, 0.709, 0.703, 0.332, 1.05
0.6, 1.0, 0.6, 1.0, 0.924, 0.359, 0.883, 0.788, 0.828, 0.789, 0.389, 0.507, 0.734, 0.303, 1.722
0.6, 1.0, 0.6, 1.4, 0.886, 0.99, 0.823, 0.805, 0.815, 0.776, 0.348, 0.594, 0.737, 0.105, 1.627
0.6, 1.0, 0.6, 1.6, 0.833, 0.638, 0.999, 0.822, 0.804, 0.794, 0.572, 0.547, 0.827, 0.084, 1.529
