# la,lb,lc,ele,rg,hb,pi,gA,gB,gC,gA_max,gB_max,gC_max,rg_dist,SSE
0.6, 1.0, 0.8, 1.0, 0.966, 0.305, 0.991, 0.801, 0.764, 0.911, 0.284, 0.436, 0.912, 0.463, 1.714
0.6, 1.0, 0.8, 1.4, 0.939, 0.879, 0.942, 0.803, 0.763, 0.91, 0.303, 0.511, 0.886, 0.259, 1.412
0.6, 1.0, 0.8, 1.6, 0.969, 0.67, 0.932, 0.807, 0.795, 0.906, 0.396, 0.569, 0.986, 0.364, 1.158
0.6, 1.0, 1.0, 1.0, 0.742, 0.272, 0.916, 0.837, 0.741, 0.777, 0.304, 0.457, 0.544, 0.01, 2.714
0.6, 1.0, 1.0, 1.4, 0.868, 0.867, 0.962, 0.829, 0.734, 0.809, 0.29, 0.528, 0.619, 0.163, 1.746
0.6, 1.0, 1.0, 1.6, 0.95, 0.779, 0.978, 0.818, 0.731, 0.787, 0.338, 0.505, 0.602, 0.389, 1.418
0.8, 0.6, 0.6, 1.0, 0.912, 0.372, 0.786, 0.761, 0.565, 0.481, 0.342, 0.509, 0.336, 0.318, 2.544
0.8, 0.6, 0.6, 1.4, 0.958, 0.842, 0.747, 0.797, 0.559, 0.467, 0.344, 0.474, 0.336, 0.259, 2.308
0.8, 0.6, 0.6, 1.6, 0.956, 0.651, 0.648, 0.788, 0.615, 0.51, 0.365, 0.576, 0.384, 0.392, 2.013
0.8, 0.6, 0.8, 1.0, 0.942, 0.332, 0.951, 0.804, 0.814, 0.794, 0.279, 0.806, 0.937, 0.291, 1.632
0.8, 0.6, 0.8, 1.4, 0.927, 0.957, 0.846, 0.809, 0.802, 0.797, 0.278, 0.833, 0.827, 0.228, 1.323
0.8, 0.6, 0.8, 1.6, 0.784, 0.725, 0.667, 0.775, 0.784, 0.77, 0.321, 0.835, 0.863, 0.07, 1.755
0.8, 0.6, 1.0, 1.0, 0.925, 0.29, 0.982, 0.812, 0.93, 0.806, 0.288, 0.867, 0.534, 0.253, 1.888
0.8, 0.6, 1.0, 1.4, 0.847, 0.807, 0.785, 0.789, 0.926, 0.846, 0.306, 0.877, 0.676, 0.11, 1.574
0.8, 0.6, 1.0, 1.6, 0.871, 0.688, 0.807, 0.812, 0.916, 0.849, 0.372, 0.943, 0.746, 0.165, 1.376
0.8, 0.8, 0.6, 1.0, 0.841, 0.297, 0.795, 0.813, 0.842, 0.698, 0.3, 0.761, 0.603, 0.121, 2.19
0.8, 0.8, 0.6, 1.4, 0.813, 0.984, 0.696, 0.77, 0.855, 0.666, 0.243, 0.877, 0.586, 0.005, 2.063
0.8, 0.8, 0.6, 1.6, 0.843, 0.716, 0.671, 0.773, 0.856, 0.675, 0.368, 0.892, 0.661, 0.015, 1.888
0.8, 0.8, 0.8, 1.0, 0.742, 0.237, 0.852, 0.783, 0.862, 0.881, 0.231, 0.59, 0.858, 0.0, 2.531
0.8, 0.8, 0.8, 1.4, 0.825, 0.836, 0.933, 0.757, 0.856, 0.891, 0.261, 0.688, 0.948, 0.024, 1.752
0.8, 0.8, 0.8, 1.6, 0.887, 0.747, 0.774, 0.766, 0.884, 0.873, 0.36, 0.705, 0.963, 0.166, 1.406
0.8, 0.8, 1.0, 1.0, 0.734, 0.208, 0.892, 0.773, 0.835, 0.794, 0.239, 0.565, 0.617, 0.0, 2.746
0.8, 0.8, 1.0, 1.4, 0.906, 0.755, 0.857, 0.738, 0.825, 0.813, 0.301, 0.626, 0.652, 0.184, 1.639
0.8, 0.8, 1.0, 1.6, 0.784, 0.934, 0.781, 0.727, 0.816, 0.826, 0.271, 0.625, 0.625, 0.026, 1.999
0.8, 1.0, 0.6, 1.0, 0.897, 0.223, 0.915, 0.75, 0.769, 0.885, 0.209, 0.421, 0.867, 0.249, 2.293
0.8, 1.0, 0.6, 1.4, 0.923, 0.835, 0.888, 0.762, 0.801, 0.821, 0.291, 0.493, 0.84, 0.29, 1.463
0.8, 1.0, 0.6, 1.6, 0.945, 0.779, 0.746, 0.744, 0.796, 0.805, 0.367, 0.577, 0.802, 0.365, 1.284
0.8, 1.0, 0.8, 1.0, 0.855, 0.206, 0.955, 0.742, 0.729, 0.915, 0.234, 0.415, 0.803, 0.116, 2.55
0.8, 1.0, 0.8, 1.4, 0.989, 0.818, 0.997, 0.731, 0.732, 0.916, 0.28, 0.497, 0.839, 0.403, 1.338
0.8, 1.0, 0.8, 1.6, 0.784, 0.803, 0.861, 0.737, 0.755, 0.931, 0.356, 0.496, 0.798, 0.037, 1.876
0.8, 1.0, 1.0, 1.0, 0.987, 0.176, 0.837, 0.724, 0.701, 0.768, 0.223, 0.445, 0.574, 0.361, 2.427
0.8, 1.0, 1.0, 1.4, 0.862, 0.61, 0.96, 0.69, 0.686, 0.778, 0.21, 0.481, 0.567, 0.098, 2.311
0.8, 1.0, 1.0, 1.6, 0.842, 0.901, 0.998, 0.723, 0.733, 0.825, 0.244, 0.492, 0.619, 0.045, 2.1
1.0, 0.6, 0.6, 1.0, 0.814, 0.279, 0.734, 0.735, 0.698, 0.573, 0.186, 0.756, 0.442, 0.02, 2.963
1.0, 0.6, 0.6, 1.4, 0.913, 0.858, 0.829, 0.7, 0.712, 0.582, 0.272, 0.685, 0.485, 0.232, 1.889
1.0, 0.6, 0.6, 1.6, 0.86, 0.738, 0.866, 0.713, 0.672, 0.546, 0.243, 0.693, 0.392, 0.122, 2.31
1.0, 0.6, 0.8, 1.0, 0.853, 0.261, 0.823, 0.702, 0.878, 0.857, 0.204, 0.949, 0.939, 0.171, 2.05
1.0, 0.6, 0.8, 1.4, 0.962, 0.768, 0.772, 0.689, 0.835, 0.82, 0.24, 0.95, 0.993, 0.222, 1.449
1.0, 0.6, 0.8, 1.6, 0.794, 0.821, 0.675, 0.676, 0.864, 0.833, 0.311, 0.964, 0.969, 0.0, 1.808
1.0, 0.6, 1.0, 1.0, 0.826, 0.188, 0.862, 0.673, 0.908, 0.831, 0.187, 0.738, 0.576, 0.12, 2.536
1.0, 0.6, 1.0, 1.4, 0.789, 0.779, 0.92, 0.678, 0.934, 0.855, 0.221, 0.837, 0.691, 0.002, 1.954
1.0, 0.6, 1.0, 1.6, 0.877, 0.893, 0.997, 0.669, 0.924, 0.839, 0.252, 0.858, 0.636, 0.081, 1.725
1.0, 0.8, 0.6, 1.0, 0.972, 0.233, 0.827, 0.696, 0.86, 0.75, 0.221, 0.765, 0.688, 0.368, 1.952
1.0, 0.8, 0.6, 1.4, 0.93, 0.867, 0.744, 0.662, 0.859, 0.742, 0.219, 0.706, 0.681, 0.311, 1.562
1.0, 0.8, 0.6, 1.6, 0.977, 0.821, 0.821, 0.668, 0.863, 0.688, 0.216, 0.654, 0.674, 0.479, 1.403
1.0, 0.8, 0.8, 1.0, 0.711, 0.235, 0.843, 0.649, 0.814, 0.889, 0.177, 0.549, 0.817, 0.0, 2.778
1.0, 0.8, 0.8, 1.4, 0.966, 0.757, 0.791, 0.653, 0.852, 0.911, 0.243, 0.55, 0.918, 0.304, 1.521
1.0, 0.8, 0.8, 1.6, 0.938, 0.901, 0.709, 0.646, 0.854, 0.884, 0.237, 0.701, 0.954, 0.264, 1.474
1.0, 0.8, 1.0, 1.0, 0.897, 0.151, 0.961, 0.649, 0.771, 0.795, 0.196, 0.556, 0.574, 0.136, 2.722
1.0, 0.8, 1.0, 1.4, 0.995, 0.822, 0.88, 0.643, 0.781, 0.818, 0.188, 0.588, 0.601, 0.46, 1.535
1.0, 0.8, 1.0, 1.6, 0.953, 0.894, 0.916, 0.67, 0.851, 0.834, 0.243, 0.652, 0.634, 0.332, 1.453
1.0, 1.0, 0.6, 1.0, 0.788, 0.193, 0.791, 0.652, 0.758, 0.888, 0.192, 0.429, 0.933, 0.0, 2.915
1.0, 1.0, 0.6, 1.4, 0.945, 0.731, 0.858, 0.663, 0.767, 0.806, 0.219, 0.496, 0.828, 0.323, 1.653
1.0, 1.0, 0.6, 1.6, 0.808, 0.921, 0.964, 0.656, 0.783, 0.822, 0.23, 0.545, 0.795, 0.001, 2.081
1.0, 1.0, 0.8, 1.0, 0.837, 0.219, 0.795, 0.638, 0.691, 0.894, 0.192, 0.406, 0.777, 0.036, 2.901
1.0, 1.0, 0.8, 1.4, 0.883, 0.753, 0.964, 0.646, 0.734, 0.913, 0.23, 0.53, 0.792, 0.136, 1.883
1.0, 1.0, 0.8, 1.6, 0.917, 0.989, 0.987, 0.628, 0.731, 0.92, 0.21, 0.455, 0.761, 0.251, 1.764
1.0, 1.0, 1.0, 1.0, 0.998, 0.175, 0.82, 0.634, 0.681, 0.782, 0.183, 0.406, 0.613, 0.453, 2.466
1.0, 1.0, 1.0, 1.4, 0.893, 0.608, 0.969, 0.619, 0.686, 0.787, 0.18, 0.401, 0.611, 0.149, 2.362
1.0, 1.0, 1.0, 1.6, 0.962, 0.883, 0.842, 0.636, 0.687, 0.794, 0.283, 0.418, 0.631, 0.339, 1.739
