# la,lb,lc,ele,rg,hb,pi,gA,gB,gC,gA_max,gB_max,gC_max,rg_dist,SSE,stotal
     0.600,     0.600,     0.950,     1.350,     0.985,     0.958,     0.858,     0.788,     0.854,     0.855,      0.42,     0.853,     0.822,     0.305,     0.982,    0.2074
     0.600,     0.700,     0.800,     1.350,     0.965,     0.944,     0.861,      0.79,      0.81,      0.78,     0.534,     0.905,     0.824,     0.332,     0.856,    0.2021
     0.600,     0.700,     0.950,     1.550,     0.997,     0.701,      0.93,     0.823,     0.908,     0.871,      0.61,     0.877,     0.763,     0.481,     0.644,    0.2069
     0.600,     0.750,     0.750,     1.400,     0.801,     0.862,      0.71,     0.785,     0.847,     0.769,     0.386,     0.961,     0.746,     0.048,     1.615,    0.2351
     0.600,     0.750,     0.900,     1.300,      0.86,     0.842,     0.971,     0.801,      0.89,     0.865,     0.383,     0.876,     0.848,     0.151,     1.255,    0.2138
     0.600,     0.800,     0.900,     1.450,     0.951,     0.949,     0.857,     0.772,     0.879,     0.872,     0.332,     0.758,     0.923,     0.272,     1.149,    0.2166
     0.600,     0.850,     0.650,     1.550,     0.809,      0.63,     0.715,       0.8,     0.859,      0.68,     0.624,     0.997,     0.648,     0.022,     1.639,     0.252
     0.600,     0.850,     0.750,     1.300,     0.824,     0.798,     0.843,     0.802,     0.857,     0.852,     0.414,     0.703,     0.945,     0.091,     1.439,    0.2329
     0.600,     0.900,     0.750,     1.600,     0.902,     0.744,     0.864,     0.819,     0.831,     0.878,     0.512,     0.633,     0.982,     0.155,     1.257,    0.2289
     0.600,     0.900,     0.950,     1.600,     0.763,      0.74,      0.77,     0.827,     0.829,     0.856,     0.371,     0.548,     0.678,       0.0,      1.96,    0.3076
     0.600,     0.950,     0.900,     1.600,     0.969,     0.707,     0.938,     0.825,     0.797,     0.889,     0.373,     0.584,     0.764,     0.358,     1.209,    0.2947
     0.650,     0.600,     0.800,     1.450,     0.916,     0.791,     0.742,     0.789,     0.715,     0.732,     0.586,     0.688,     0.766,     0.256,     1.192,    0.2764
     0.650,     0.600,     0.900,     1.550,     0.925,     0.664,     0.752,     0.836,      0.83,     0.851,       0.7,     0.846,     0.981,     0.249,     0.936,    0.1848
     0.650,     0.700,     0.850,     1.350,     0.922,     0.989,      0.99,     0.816,     0.884,     0.854,     0.345,     0.992,     0.965,     0.182,     1.174,    0.1652
     0.650,     0.750,     0.650,     1.250,     0.793,     0.839,       0.7,     0.769,     0.803,     0.649,     0.344,      0.98,      0.57,     0.083,     1.831,    0.2926
     0.650,     0.800,     0.650,     1.450,     0.928,     0.768,     0.932,     0.809,     0.846,     0.667,     0.501,     0.995,      0.59,     0.249,     1.216,    0.2608
     0.650,     0.900,     0.900,     1.600,     0.941,     0.684,      0.91,      0.83,     0.812,     0.896,     0.382,     0.632,     0.803,     0.189,       1.4,    0.2804
     0.700,     0.650,     0.900,     1.550,     0.875,     0.781,     0.975,     0.807,     0.897,     0.863,     0.384,     0.922,     0.796,     0.045,      1.47,    0.2216
     0.700,     0.700,     0.800,     1.450,      0.86,     0.809,     0.758,     0.843,     0.877,     0.839,     0.384,     0.958,     0.965,     0.224,     1.165,    0.1895
     0.750,     0.800,     0.900,     1.550,     0.942,     0.805,     0.997,     0.789,     0.853,     0.883,     0.381,     0.654,     0.675,     0.246,     1.298,    0.2803
