# la,lb,lc,ele,rg,hb,pi,gA,gB,gC,gA_max,gB_max,gC_max,rg_dist,SSE,stotal
     0.600,     0.600,     0.750,     1.500,     0.836,     0.646,     0.722,     0.762,     0.635,     0.627,     0.741,     0.572,     0.551,     0.181,     1.681,    0.3526
     0.600,     0.700,     0.750,     1.600,     0.903,      0.55,     0.717,     0.809,     0.753,     0.697,     0.593,     0.678,     0.638,     0.221,     1.489,    0.3263
     0.600,     0.700,     0.800,     1.450,     0.985,     0.736,     0.865,     0.805,     0.806,     0.785,     0.639,     0.877,     0.793,     0.486,     0.663,    0.2229
     0.600,     0.700,     0.850,     1.400,     0.985,     0.888,     0.823,     0.793,     0.859,     0.846,     0.359,     0.945,     0.964,     0.373,     0.939,    0.1925
     0.600,     0.750,     0.850,     1.450,     0.908,     0.803,     0.815,     0.797,     0.881,     0.844,     0.506,     0.934,      0.95,     0.291,     0.915,    0.1838
     0.600,     0.800,     0.650,     1.350,      0.92,     0.955,      0.81,     0.778,     0.816,     0.641,     0.644,     0.957,     0.585,     0.312,     1.031,    0.2322
     0.600,     0.800,     0.650,     1.500,     0.826,     0.683,     0.718,     0.797,     0.825,     0.677,     0.511,     0.975,     0.609,     0.105,      1.58,     0.275
     0.600,     0.800,     0.900,     1.550,     0.917,      0.67,      0.87,     0.842,     0.886,     0.896,     0.437,     0.829,     0.872,     0.262,     1.089,    0.2242
     0.600,     0.850,     0.700,     1.600,      0.96,     0.597,     0.914,     0.838,     0.866,      0.77,     0.725,     0.852,     0.765,     0.307,     0.902,    0.2269
     0.600,     0.900,     0.800,     1.550,     0.846,     0.731,     0.754,     0.829,     0.814,       0.9,     0.455,     0.563,     0.951,     0.177,     1.398,    0.2513
     0.600,     0.900,     0.900,     1.550,     0.977,     0.776,     0.954,     0.827,     0.832,     0.881,      0.53,     0.585,     0.886,     0.487,     0.794,    0.2407
     0.650,     0.600,     0.900,     1.450,     0.883,       0.8,     0.802,       0.8,     0.829,     0.875,     0.391,     0.814,     0.923,     0.142,     1.325,    0.2242
     0.650,     0.700,     0.850,     1.600,     0.856,     0.581,     0.757,     0.847,     0.861,     0.855,     0.506,     0.938,     0.912,     0.147,     1.302,    0.2145
     0.650,     0.700,     0.950,     1.500,     0.998,     0.819,     0.878,     0.818,     0.914,     0.845,     0.352,     0.815,     0.748,     0.518,     0.862,    0.2415
     0.650,     0.950,     0.650,     1.600,     0.864,     0.674,     0.829,     0.811,     0.823,     0.791,      0.39,     0.658,     0.774,     0.097,      1.62,    0.2973
     0.700,     0.650,     0.850,     1.600,     0.844,     0.625,     0.705,     0.814,     0.829,     0.832,     0.572,     0.814,     0.921,     0.147,     1.296,    0.2278
     0.700,     0.750,     0.650,     1.500,     0.887,     0.724,     0.766,     0.819,     0.813,     0.666,     0.379,     0.868,     0.593,     0.294,      1.39,    0.3057
     0.700,     0.800,     0.700,     1.300,     0.867,     0.826,     0.731,     0.797,     0.839,      0.76,     0.296,      0.71,     0.768,     0.158,     1.588,    0.2866
     0.750,     0.650,     0.950,     1.600,     0.988,     0.697,     0.897,     0.818,     0.921,     0.872,     0.327,     0.882,     0.762,     0.324,     1.139,    0.2461
     0.750,     0.750,     0.900,     1.600,     0.992,     0.857,     0.838,     0.789,     0.891,     0.872,      0.32,     0.784,     0.756,     0.351,     1.109,    0.2475
